,INI_SIGN_MONTH,INI_CONTRACT_TYPE,CONTRACT1_TYPE,CONTRACT2_TYPE,CONTRACT3_TYPE,CONTRACTS,CONTRACTS_GR,DUR_INI_FIRST,DUR_INI_SECOND,DUR_INI_THIRD,DUR_FIRST_SECOND,DUR_FIRST_THIRD,DUR_SECOND_THIRD,CLIENTS
0,2021-06-01,CD,CD,NC,NC,1,1,13.0,,,,,,595
1,2021-06-01,CD,CD,NC,NC,1,1,14.0,,,,,,501
2,2021-06-01,TW,CL,CL,NC,2,2,13.0,22.0,,9.0,,,1
3,2021-05-01,CD,CD,CL,NC,2,2,16.0,38.0,,22.0,,,1
4,2021-06-01,CD,CL,NC,NC,1,1,38.0,,,,,,17
5,2021-06-01,CD,CD,CD,CD,3,3,24.0,30.0,32.0,6.0,8.0,2.0,1
6,2021-05-01,CD,CD,NC,NC,1,1,38.0,,,,,,430
7,2021-06-01,CD,CD,NC,NC,1,1,28.0,,,,,,363
8,2021-06-01,CD,CD,NC,NC,1,1,8.0,,,,,,617
9,2021-05-01,CD,CD,NC,NC,1,1,15.0,,,,,,549
10,2021-05-01,CD,CD,CD,NC,2,2,4.0,16.0,,12.0,,,6
11,2021-05-01,CD,CD,CD,NC,2,2,15.0,23.0,,8.0,,,17
12,2021-05-01,CD,CD,CD,CD,3,3,6.0,10.0,30.0,4.0,24.0,20.0,1
13,2021-05-01,CD,CD,NC,NC,1,1,14.0,,,,,,662
14,2021-06-01,CD,CD,CC,NC,2,2,10.0,10.0,,0.0,,,15
15,2021-07-01,CD,CD,CD,CD,4,3+,14.0,17.0,22.0,3.0,8.0,5.0,1
16,2021-05-01,CD,CD,CC,CD,4,3+,9.0,9.0,10.0,0.0,1.0,1.0,1
17,2021-06-01,CD,CD,NC,NC,1,1,4.0,,,,,,524
18,2021-07-01,CD,CL,CD,NC,2,2,4.0,26.0,,22.0,,,1
19,2021-07-01,CD,CD,CL,CD,10,3+,2.0,8.0,8.0,6.0,6.0,0.0,1
20,2021-06-01,TW,CL,CC,CL,4,3+,10.0,16.0,27.0,6.0,17.0,11.0,1
21,2021-05-01,CD,CD,NC,NC,1,1,40.0,,,,,,388
22,2021-07-01,CD,CD,CD,CD,3,3,6.0,11.0,35.0,5.0,29.0,24.0,1
23,2021-07-01,CD,CD,NC,NC,1,1,29.0,,,,,,206
24,2021-05-01,CD,CD,NC,NC,1,1,2.0,,,,,,281
25,2021-07-01,CD,CL,CD,NC,2,2,5.0,15.0,,10.0,,,2
26,2021-05-01,CD,CD,CL,NC,2,2,8.0,16.0,,8.0,,,4
27,2021-05-01,CD,CD,CD,NC,2,2,24.0,34.0,,10.0,,,8
28,2021-06-01,CD,CD,CD,CC,5,3+,12.0,16.0,21.0,4.0,9.0,5.0,1
29,2021-07-01,CD,CD,NC,NC,1,1,37.0,,,,,,218
30,2021-06-01,CD,CC,CD,NC,2,2,0.0,20.0,,20.0,,,4
31,2021-07-01,CD,CD,NC,NC,1,1,23.0,,,,,,185
32,2021-05-01,CD,CD,CD,NC,2,2,16.0,36.0,,20.0,,,10
33,2021-06-01,CD,HPL,TW,NC,2,2,39.0,39.0,,0.0,,,3
34,2021-07-01,CD,CD,CD,CD,5,3+,8.0,20.0,20.0,12.0,12.0,0.0,1
35,2021-07-01,CD,CD,CD,CD,4,3+,10.0,19.0,28.0,9.0,18.0,9.0,1
36,2021-05-01,CD,CD,CD,CD,3,3,16.0,23.0,35.0,7.0,19.0,12.0,1
37,2021-07-01,CD,CL,CL,NC,2,2,16.0,35.0,,19.0,,,1
38,2021-05-01,CD,CD,CD,CD,5,3+,8.0,11.0,14.0,3.0,6.0,3.0,2
39,2021-06-01,CD,CD,CC,CL,3,3,7.0,22.0,22.0,15.0,15.0,0.0,3
40,2021-05-01,CD,CC,NC,NC,1,1,7.0,,,,,,35
41,2021-05-01,CD,CD,CD,NC,2,2,1.0,11.0,,10.0,,,11
42,2021-05-01,CD,CD,CL,NC,2,2,27.0,38.0,,11.0,,,1
43,2021-05-01,CD,CD,CD,CD,3,3,1.0,2.0,32.0,1.0,31.0,30.0,1
44,2021-05-01,CD,CD,CD,NC,2,2,12.0,29.0,,17.0,,,21
45,2021-07-01,CD,CD,CL,NC,2,2,9.0,15.0,,6.0,,,2
46,2021-05-01,CD,CD,CD,CD,3,3,16.0,25.0,35.0,9.0,19.0,10.0,2
47,2021-06-01,CD,CD,CD,CC,5,3+,11.0,15.0,19.0,4.0,8.0,4.0,1
48,2021-05-01,CD,CD,CD,NC,2,2,28.0,31.0,,3.0,,,8
49,2021-06-01,CD,CD,CD,CD,3,3,20.0,22.0,27.0,2.0,7.0,5.0,1
50,2021-05-01,CC,CD,CD,CD,3,3,17.0,23.0,36.0,6.0,19.0,13.0,1
51,2021-05-01,CD,CD,CD,NC,2,2,22.0,31.0,,9.0,,,8
52,2021-06-01,CD,CC,NC,NC,1,1,6.0,,,,,,37
53,2021-07-01,CD,CD,CD,NC,2,2,14.0,38.0,,24.0,,,5
54,2021-07-01,CD,CL,CL,CL,4,3+,4.0,6.0,16.0,2.0,12.0,10.0,1
55,2021-05-01,CD,CD,CD,CD,3,3,7.0,20.0,23.0,13.0,16.0,3.0,1
56,2021-05-01,CD,CD,CL,CL,4,3+,5.0,9.0,16.0,4.0,11.0,7.0,1
57,2021-06-01,CD,TW,NC,NC,1,1,16.0,,,,,,18
58,2021-06-01,CD,CD,CL,NC,2,2,7.0,15.0,,8.0,,,5
59,2021-06-01,CD,CD,CD,NC,2,2,10.0,14.0,,4.0,,,11
60,2021-06-01,CD,CD,CD,CL,3,3,15.0,22.0,26.0,7.0,11.0,4.0,1
61,2021-06-01,CD,CD,CD,CD,3,3,6.0,12.0,20.0,6.0,14.0,8.0,2
